username,handle,tweet_text,time
Stacey B ,@StayCeeBeeTHD,The Stuart #hd6314 having fun while hosting JD Parker Elementary for MATH Night  We ARE the #HomeDepot @MalitsX @Samantha_6314 @Chris_J_Mangino @PennyPaladino Knowledge is power #learningthroughplay,2020-02-07T00:14:46.000Z
Sunamita Morales,@SunamitaMorales,Shout Out to Denise + Bryan for bringing us some Round Rock Donuts for Motivation!!  #HomeDepot #MDO5837 @denisrey322 @B_Brown83 @THD_MDO5837 @DashMaw,2020-02-08T02:36:50.000Z
Stacey B ,@StayCeeBeeTHD,The Stuart #hd6314 having fun while hosting JD Parker Elementary for MATH Night  We ARE the #HomeDepot @MalitsX @Samantha_6314 @Chris_J_Mangino @PennyPaladino Knowledge is power #learningthroughplay,2020-02-07T00:14:46.000Z
Patrick Bian,@PatrickBian2,Celebrated our CoS Don today during our Specialty Wall with @THDJohn91 Way to bring it every day sir! Keep up the great work! @jaybisping @juanitashinn7 @homedepot773 @MccullarJim @kernsied #HomeDepot,2020-02-06T23:42:51.000Z
The Poisoned Planet News ,@poisonedpshow,N95 masks OUT-OF-STOCK at Home Depots. This is just the beginning. Stop & Shop is next #Coronavius #news #homedepot #news #breaking #n95mask #virus #flu #sick #cdc #quarantine,2020-02-07T17:03:00.000Z
Patrick Bian,@PatrickBian2,Celebrated our CoS Don today during our Specialty Wall with @THDJohn91 Way to bring it every day sir! Keep up the great work! @jaybisping @juanitashinn7 @homedepot773 @MccullarJim @kernsied #HomeDepot,2020-02-06T23:42:51.000Z
Mike Sharlow,@hdesyracuse,Our team is ready for the start of our Saturday in store Window events and generating homeowner leads for Spring window projects #letdothis #homedepot ⁦@Scott_Wodicka⁩ ⁦⁦@HomeDepot⁩ ⁦@KendraByrd24⁩,2020-02-07T13:59:13.000Z
Anthony.arvizu,@Anthonyarvizu9,Congratulations to Jason in Lumber Recovery for hitting his Platinum mile stone!! #yuccavalley #homedepot @6971Home @larrylubinsky @kellie69331611,2020-02-07T12:51:34.000Z
Karen “Kat” Ellis,@HouzzCertified,Hit up Snellville #HomeDepot today with @MNaturile #romanoffrenovations - met with store manager @CharlesWFisher and lead generator Allean! We are all stoked to bring more #installhappiness to this store! @ReeReeRomanoff1 @AvisMcGhee3 @SouthSide_SCS @GAcoffeequeen,2020-02-07T19:20:31.000Z
Gregory Iversen,@marsiversen,"Good morning #ColoradoSprings Shovels, yes it’s a snow shovel kind of day and we have them in stock at your #Favorite #HomeDepot 1538. Order #Online pickup in store. @THDAbbySmith @DJJKsanchez @PabstBen @AndyDHRM @MikeNic68177857 @kylerey81 @ThePacMan1541 @JohnSharp1518",2020-02-07T15:21:53.000Z
Tiara Johnson,@3034ASDS_Tiara,Awesome Time giving back to the community!!!#PowerOfThePack#HomeDepot,2020-02-07T05:18:50.000Z
Spencer Burkhart,@strandedinTN,Thank you so much Mr. Householder. #Community #HomeDepot,2020-02-07T01:52:29.000Z
Nancy Henry,@NancyHenryTHD,"What a great day volunteering at the St. Louis Foodbank—a big thank you to all of you D80, D150 and D299 awesome associates !! #homedepot #centralregion ⁦@LemmaTony⁩ ⁦@CherieAbbinanti⁩ ⁦@LilyGSV⁩",2020-02-06T22:05:48.000Z
MarketScreener Technical Alerts,@MrktScreener_TA,"The Home Depot, Inc.: The stock is testing its highs. #HomeDepot #MarketScreener https://marketscreener.com//THE-HOME-DEPOT-INC-4826/…",2020-02-06T21:02:28.000Z
YRGjobs,@YRGjobs,"Sophie stopped by the Dickson City, PA #homedepot store @DogsOfHomeDepot @thdstore4118 #dogsoftwitter",2020-02-06T20:36:32.000Z
Asphalt Services Inc,@ASIpavingBoston,"Recently, we completed a multi-week project in Maine for 2 Home Depot locations! Check out all the details today:https://asphaltservicesinc.com/home-depot-rockland-me/…#AsphaltServicesInc #Asphalt #HomeDepot",2020-02-06T18:30:46.000Z
Karen “Kat” Ellis,@HouzzCertified,Hit up Snellville #HomeDepot today with @MNaturile #romanoffrenovations - met with store manager @CharlesWFisher and lead generator Allean! We are all stoked to bring more #installhappiness to this store! @ReeReeRomanoff1 @AvisMcGhee3 @SouthSide_SCS @GAcoffeequeen,2020-02-07T19:20:31.000Z
Gregory Iversen,@marsiversen,"Good morning #ColoradoSprings Shovels, yes it’s a snow shovel kind of day and we have them in stock at your #Favorite #HomeDepot 1538. Order #Online pickup in store. @THDAbbySmith @DJJKsanchez @PabstBen @AndyDHRM @MikeNic68177857 @kylerey81 @ThePacMan1541 @JohnSharp1518",2020-02-07T15:21:53.000Z
Tiara Johnson,@3034ASDS_Tiara,Awesome Time giving back to the community!!!#PowerOfThePack#HomeDepot,2020-02-07T05:18:50.000Z
Spencer Burkhart,@strandedinTN,Thank you so much Mr. Householder. #Community #HomeDepot,2020-02-07T01:52:29.000Z
Nancy Henry,@NancyHenryTHD,"What a great day volunteering at the St. Louis Foodbank—a big thank you to all of you D80, D150 and D299 awesome associates !! #homedepot #centralregion ⁦@LemmaTony⁩ ⁦@CherieAbbinanti⁩ ⁦@LilyGSV⁩",2020-02-06T22:05:48.000Z
